mahalle,brut_alan_m2,net_alan_m2,oda_sayisi,bina_kat_sayisi,dairenin_bulundugu_kat,bina_yas,isitma_turu,banyo_sayisi,balkon,asansor,otopark,esya_durumu,site_icinde,sahibi,aidat,depozito,fiyat
Altındağ Mh.,130.0,110.0,2+1,8.0,1,21-25 arası,Klima,1.0,1,1,Açık Otopark,0,0,1,200,18000,17000.0
Haşimişcan Mh.,60.0,55.0,1+1,4.0,Bodrum Kat,26-30 arası,Klima,1.0,0,0,Açık Otopark,0,0,0,0,12500,12000.0
Meydankavağı Mh.,150.0,140.0,3+1,8.0,1,16-20 arası,Klima,1.0,1,1,Açık Otopark,0,0,1,0,16500,16500.0
Fener Mah.,165.0,155.0,3+1,8.0,7,16-20 arası,Klima,1.0,1,1,Açık Otopark,1,1,0,300,25000,25000.0
Kızılarık Mh.,107.0,90.0,2+1,4.0,2,5-10 arası,Klima,1.0,1,1,Açık Otopark,0,0,0,0,12000,12000.0
Yenigün Mh.,100.0,85.0,2+1,4.0,4,11-15 arası,Kombi (Doğalgaz),1.0,1,0,Açık Otopark,1,0,0,0,0,18000.0
Fener Mah.,100.0,96.0,2+1,3.0,1,11-15 arası,Klima,1.0,1,0,Yok,1,0,0,0,0,26000.0
Fener Mah.,80.0,60.0,2+1,2.0,Bahçe Katı,5-10 arası,Kombi (Doğalgaz),1.0,1,0,Yok,0,1,0,0,50000,22500.0
Kızılsaray Mh.,60.0,50.0,1+1,3.0,1,16-20 arası,Klima,1.0,1,0,Yok,1,0,0,100,18000,18000.0
Meltem Mah.,140.0,130.0,3+1,13.0,11,21-25 arası,Klima,2.0,1,1,Yok,0,1,0,400,26000,26000.0
Soğuksu Mh.,125.0,110.0,3+1,5.0,5,21-25 arası,Klima,1.0,1,0,Açık Otopark,0,0,0,0,15000,15000.0
Çağlayan Mh.,150.0,135.0,3+1,10.0,9,16-20 arası,Klima,1.0,1,1,Açık Otopark,1,1,0,320,20000,30000.0
Çağlayan Mh.,55.0,50.0,1+1,4.0,Bahçe Katı,11-15 arası,Klima,1.0,1,1,Açık Otopark,0,1,0,1000,16000,16000.0
Soğuksu Mh.,300.0,270.0,5+1,13.0,13,11-15 arası,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,1,1,0,400,0,39000.0
Güzeloba Mh.,160.0,155.0,3+1,8.0,4,5-10 arası,Klima,1.0,1,1,Açık Otopark,0,1,1,1000,20000,20000.0
Fener Mah.,230.0,200.0,4+1,16.0,Yüksek Giriş,11-15 arası,Kombi (Doğalgaz),3.0,1,1,Açık & Kapalı Otopark,0,1,1,2500,180000,107000.0
Yeşilbahçe Mh.,145.0,135.0,3+1,8.0,5,11-15 arası,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,1,0,1550,70000,35000.0
Güzeloba Mh.,120.0,110.0,2+1,2.0,1,5-10 arası,Klima,2.0,0,1,Kapalı Otopark,1,1,1,1800,80000,45000.0
Güzeloba Mh.,95.0,85.0,2+1,6.0,3,4,Klima,2.0,1,1,Kapalı Otopark,1,1,0,1300,38000,37000.0
Güzeloba Mh.,60.0,50.0,1+1,2.0,Yüksek Giriş,5-10 arası,Klima,1.0,1,0,Açık Otopark,0,0,0,200,15000,13000.0
Kızılarık Mh.,135.0,120.0,3+1,5.0,1,4,Klima,1.0,0,1,Yok,0,0,1,0,15000,15000.0
Güzeloba Mh.,85.0,70.0,2+1,1.0,Giriş Katı,16-20 arası,Klima,1.0,0,1,Açık Otopark,1,1,1,1000,34000,30000.0
Üçgen Mh.,110.0,100.0,2+1,7.0,4,3,Yok,1.0,1,1,Açık & Kapalı Otopark,0,0,0,0,0,17000.0
Fener Mah.,90.0,75.0,2+1,15.0,Bahçe Katı,21-25 arası,Kat Kaloriferi,1.0,1,1,Kapalı Otopark,1,1,0,1250,25000,25000.0
Dutlubahçe Mh.,100.0,90.0,2+1,4.0,Yüksek Giriş,5-10 arası,Klima,1.0,1,1,Açık Otopark,1,1,1,400,15000,15000.0
Yüksekalan Mh.,75.0,65.0,2+1,3.0,Giriş Katı,1,Kombi (Doğalgaz),1.0,0,0,Kapalı Otopark,1,0,0,250,0,19000.0
Çağlayan Mh.,320.0,290.0,4+2,6.0,6,16-20 arası,Klima,3.0,1,1,Açık Otopark,0,1,0,0,30000,27000.0
Cumhuriyet Mah.,95.0,90.0,2+1,4.0,Yüksek Giriş,16-20 arası,Klima,1.0,1,0,Açık Otopark,0,0,0,100,22000,11000.0
Meltem Mah.,125.0,120.0,3+1,6.0,1,16-20 arası,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,1,1,0,0,27000,32000.0
Güzeloba Mh.,150.0,130.0,3+1,7.0,3,11-15 arası,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,0,0,0,600,25000,25000.0
Çağlayan Mh.,230.0,200.0,6+1,5.0,Bahçe Katı,16-20 arası,Klima,3.0,1,1,Açık & Kapalı Otopark,1,0,0,150,45000,22500.0
Sinan Mah.,55.0,45.0,1+1,5.0,4,0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,0,0,0,0,16500,16500.0
Yeşilbahçe Mh.,160.0,140.0,3+1,4.0,1,16-20 arası,Kombi (Doğalgaz),1.0,1,0,Açık Otopark,1,0,0,100,40000,28500.0
Güzeloba Mh.,150.0,125.0,3+1,12.0,12,16-20 arası,Klima,1.0,1,1,Açık & Kapalı Otopark,1,0,0,500,60000,20000.0
Şirinyalı Mh.,170.0,160.0,3+1,4.0,3,21-25 arası,Klima,1.0,1,0,Açık Otopark,0,0,0,200,25000,25000.0
Güzeloba Mh.,55.0,50.0,1+1,3.0,Bahçe Katı,5-10 arası,Kombi (Doğalgaz),1.0,1,1,Kapalı Otopark,1,0,0,0,18000,20000.0
Gebizli Mah.,149.0,130.0,3+1,6.0,4,4,Klima,2.0,1,1,Kapalı Otopark,0,1,0,2600,0,20000.0
Cumhuriyet Mah.,125.0,115.0,3+1,4.0,4,21-25 arası,Klima,1.0,1,0,Açık Otopark,0,0,0,50,5000,14500.0
Fener Mah.,270.0,240.0,6+1,11.0,11,21-25 arası,Klima,2.0,1,1,Açık Otopark,0,0,0,500,34000,36000.0
Demircikara Mah.,170.0,155.0,3+1,9.0,6,16-20 arası,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,0,0,0,350,28000,28000.0
Kızıltoprak Mh.,90.0,85.0,2+1,4.0,1,5-10 arası,Yok,1.0,1,1,Açık Otopark,0,0,0,350,17250,17000.0
Üçgen Mh.,95.0,90.0,2+1,6.0,6,26-30 arası,Klima,1.0,1,1,Yok,0,0,0,0,15000,15000.0
Doğuyaka Mh.,140.0,130.0,3+1,4.0,1,5-10 arası,Kombi (Doğalgaz),2.0,1,1,Kapalı Otopark,0,0,0,300,21000,21000.0
Meydankavağı Mh.,220.0,200.0,3+1,3.0,2,5-10 arası,Kombi (Doğalgaz),2.0,1,1,Kapalı Otopark,0,1,0,1500,40000,40000.0
Gençlik Mh.,95.0,90.0,1+1,3.0,1,26-30 arası,Klima,1.0,1,0,Yok,1,0,0,0,0,25000.0
Kızılarık Mh.,145.0,140.0,3+1,7.0,3,11-15 arası,Yok,1.0,1,1,Açık Otopark,0,1,0,450,17500,17500.0
Güzeloba Mh.,105.0,100.0,2+1,13.0,4,21-25 arası,Kombi (Doğalgaz),1.0,1,0,Yok,0,1,0,0,0,24000.0
Gebizli Mah.,75.0,70.0,2+1,4.0,Yüksek Giriş,5-10 arası,Klima,1.0,1,1,Kapalı Otopark,0,1,0,0,30000,12000.0
Bayındır Mh.,140.0,130.0,3+1,7.0,6,16-20 arası,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,0,0,200,25000,25000.0
Yüksekalan Mh.,140.0,135.0,3+1,6.0,2,26-30 arası,Klima,1.0,1,1,Açık Otopark,1,0,0,0,22000,22000.0
Bayındır Mh.,130.0,125.0,3+1,4.0,2,16-20 arası,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,0,0,0,250,25000,25000.0
Etiler Mah.,90.0,85.0,2+1,4.0,Giriş Katı,5-10 arası,Klima,1.0,0,0,Açık Otopark,1,0,0,0,0,12750.0
Konuksever Mah.,95.0,85.0,2+1,3.0,Yüksek Giriş,11-15 arası,Klima,1.0,1,1,Açık Otopark,0,0,0,150,10750,10750.0
Soğuksu Mh.,145.0,140.0,3+1,5.0,1,16-20 arası,Klima,1.0,1,0,Açık Otopark,0,0,0,0,0,20000.0
Sedir Mah.,95.0,90.0,2+1,4.0,3,16-20 arası,Klima,1.0,1,0,Açık Otopark,0,0,0,0,13000,13000.0
Meydankavağı Mh.,150.0,135.0,3+1,8.0,3,11-15 arası,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,0,1,0,1000,27000,27000.0
Güzeloba Mh.,115.0,100.0,2+1,8.0,8,11-15 arası,Klima,1.0,1,1,Açık Otopark,1,1,0,250,30000,27000.0
Kızıltoprak Mh.,90.0,75.0,1+1,6.0,Yüksek Giriş,0,Klima,1.0,1,1,Kapalı Otopark,1,0,0,1500,60000,30000.0
Tahılpazarı Mh.,80.0,70.0,2+1,4.0,3,26-30 arası,Yok,1.0,1,0,Açık Otopark,1,0,1,0,20000,20000.0
Fener Mah.,60.0,55.0,1+1,3.0,Bahçe Katı,11-15 arası,Klima,1.0,1,0,Yok,0,0,0,0,13000,13000.0
Doğuyaka Mh.,100.0,90.0,2+1,4.0,3,4,Klima,2.0,1,1,Açık Otopark,0,0,0,800,23000,23000.0
Güzelbağ Mh.,110.0,90.0,2+1,3.0,Giriş Katı,5-10 arası,Klima,1.0,1,0,Açık Otopark,1,0,1,75,0,20000.0
Güzeloba Mh.,55.0,50.0,1+1,2.0,Giriş Katı,1,Klima,1.0,1,0,Açık Otopark,1,1,0,0,0,17500.0
Güzeloba Mh.,65.0,60.0,1+1,2.0,2,5-10 arası,Klima,1.0,1,1,Açık Otopark,1,1,0,250,18000,18000.0
Bayındır Mh.,90.0,80.0,1+1,7.0,7,16-20 arası,Klima,1.0,1,1,Açık Otopark,0,0,0,0,0,15000.0
Güzeloba Mh.,60.0,50.0,1+1,1.0,Bahçe Katı,26-30 arası,Klima,1.0,1,0,Açık & Kapalı Otopark,0,1,0,3990,20000,19000.0
Yenigün Mh.,110.0,100.0,2+1,4.0,1,16-20 arası,Klima,1.0,1,0,Yok,0,0,1,0,24000,12500.0
Konuksever Mah.,60.0,50.0,Stüdyo (1+0),5.0,Giriş Katı,11-15 arası,Klima,1.0,0,1,Açık Otopark,1,0,0,0,0,11000.0
Kızılarık Mh.,90.0,75.0,2+1,4.0,Yüksek Giriş,4,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,0,1,0,300,12000,11995.0
Gençlik Mh.,220.0,190.0,3+1,13.0,2,21-25 arası,Kombi (Doğalgaz),3.0,1,1,Açık & Kapalı Otopark,1,1,0,1600,120000,60000.0
Haşimişcan Mh.,100.0,90.0,3+1,6.0,4,31 ve üzeri,Klima,1.0,1,1,Yok,1,0,0,150,40000,25000.0
Üçgen Mh.,45.0,35.0,1+1,6.0,Giriş Katı,0,Kombi (Doğalgaz),1.0,0,1,Kapalı Otopark,0,0,1,0,15000,15000.0
Güzeloluk Mh.,200.0,185.0,4+1,7.0,1,5-10 arası,Kombi (Doğalgaz),2.0,1,1,Kapalı Otopark,0,1,0,0,0,55000.0
Yüksekalan Mh.,80.0,65.0,2+1,2.0,2,16-20 arası,Klima,1.0,1,0,Açık Otopark,1,0,0,100,16000,15000.0
Deniz Mah.,90.0,85.0,2+1,4.0,Giriş Katı,26-30 arası,Klima,1.0,1,0,Yok,1,0,0,70,18000,18000.0
Gençlik Mh.,150.0,140.0,3+1,6.0,2,31 ve üzeri,Klima,1.0,1,1,Açık Otopark,0,0,0,450,20000,20000.0
Gençlik Mh.,170.0,150.0,3+1,6.0,1,21-25 arası,Klima,1.0,1,1,Yok,0,1,0,0,40000,40000.0
Deniz Mah.,170.0,160.0,3+1,5.0,3,0,Kombi (Doğalgaz),2.0,1,1,Kapalı Otopark,0,1,0,1200,35000,35000.0
Güzeloba Mh.,165.0,150.0,3+1,10.0,5,21-25 arası,Klima,1.0,1,1,Açık Otopark,0,1,0,650,30000,23000.0
Gençlik Mh.,110.0,100.0,2+1,5.0,1,31 ve üzeri,Klima,1.0,1,1,Açık Otopark,1,0,0,0,44000,22000.0
Kızılarık Mh.,100.0,90.0,2+1,7.0,4,4,Klima,1.0,1,1,Kapalı Otopark,0,0,0,0,0,15500.0
Dutlubahçe Mh.,150.0,140.0,3+1,4.0,2,16-20 arası,Klima,1.0,1,0,Açık Otopark,0,0,0,100,16000,16000.0
Güzeloba Mh.,155.0,140.0,3+1,11.0,4,21-25 arası,Klima,1.0,1,1,Açık Otopark,0,0,0,250,0,40000.0
Yeşilbahçe Mh.,180.0,170.0,4+1,10.0,1,16-20 arası,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,0,1,0,0,0,30000.0
Güzeloba Mh.,55.0,45.0,1+1,1.0,Yüksek Giriş,2,Klima,1.0,1,0,Açık Otopark,1,0,0,250,15000,15000.0
Konuksever Mah.,125.0,120.0,3+1,10.0,5,16-20 arası,Klima,1.0,1,1,Açık Otopark,0,1,1,50,17000,17000.0
Çaybaşı Mh.,170.0,140.0,3+1,7.0,6,21-25 arası,Klima,2.0,0,1,Açık Otopark,1,0,1,200,24000,24000.0
Kızılarık Mh.,90.0,85.0,2+1,4.0,2,4,Klima,2.0,1,1,Açık Otopark,1,0,0,0,14000,13999.0
Güzeloba Mh.,165.0,145.0,3+1,8.0,6,16-20 arası,Klima,2.0,1,1,Açık Otopark,1,1,0,800,30000,30000.0
Meydankavağı Mh.,130.0,120.0,3+1,3.0,1,11-15 arası,Kombi (Doğalgaz),1.0,1,0,Açık Otopark,0,0,0,0,0,23000.0
Kızılarık Mh.,130.0,120.0,2+1,4.0,3,11-15 arası,Klima,1.0,1,1,Açık Otopark,0,0,0,0,0,12000.0
Yıldız Mh.,110.0,100.0,2+1,6.0,1,21-25 arası,Klima,1.0,1,1,Açık Otopark,0,0,0,200,18000,16000.0
Güzeloba Mh.,65.0,55.0,2+1,3.0,Bahçe Katı,1,Klima,1.0,1,0,Açık Otopark,1,1,0,0,0,38500.0
Güzeloba Mh.,110.0,90.0,2+1,2.0,1,2,Kombi (Doğalgaz),2.0,1,0,Açık Otopark,1,0,0,0,45000,22500.0
Güzeloba Mh.,120.0,105.0,3+1,2.0,2,11-15 arası,Klima,1.0,1,0,Yok,0,0,0,200,19000,19000.0
Dutlubahçe Mh.,135.0,120.0,3+1,3.0,1,11-15 arası,Klima,1.0,1,1,Açık Otopark,0,0,1,0,0,18000.0
Güzeloba Mh.,100.0,85.0,2+1,3.0,1,11-15 arası,Kombi (Doğalgaz),1.0,1,0,Açık Otopark,1,1,1,0,50000,27000.0
Meydankavağı Mh.,230.0,178.0,4+1,5.0,2,5-10 arası,Merkezi (Pay Ölçer),2.0,1,1,Açık Otopark,1,1,0,3000,100000,50000.0
Güzeloba Mh.,300.0,240.0,4+1,3.0,2,16-20 arası,Kombi (Doğalgaz),2.0,1,0,Açık Otopark,1,1,0,950,0,120000.0
Üçgen Mh.,125.0,115.0,2+1,4.0,Giriş Katı,16-20 arası,Klima,2.0,1,0,Yok,0,0,0,100,11500,11500.0
Bayındır Mh.,135.0,120.0,3+1,7.0,4,11-15 arası,Klima,2.0,1,1,Açık Otopark,1,0,0,200,35000,35000.0
Fener Mah.,155.0,145.0,3+1,8.0,8,16-20 arası,Merkezi (Pay Ölçer),1.0,1,1,Açık Otopark,0,1,0,3500,55000,55000.0
Güzeloba Mh.,60.0,55.0,1+1,2.0,1,2,Klima,1.0,1,0,Açık Otopark,1,0,0,850,30000,17000.0
Yeşildere Mh.,120.0,110.0,2+1,4.0,3,1,Klima,1.0,1,1,Açık Otopark,1,0,0,100,19000,18500.0
Şirinyalı Mh.,165.0,150.0,3+1,13.0,13,16-20 arası,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,1,0,0,1000,0,36000.0
Kızılarık Mh.,95.0,85.0,2+1,4.0,2,4,Yok,1.0,1,1,Açık Otopark,0,0,0,0,12000,12000.0
Çağlayan Mh.,160.0,150.0,3+1,9.0,2,11-15 arası,Klima,2.0,1,1,Açık Otopark,1,1,0,0,22000,22000.0
Güzeloba Mh.,130.0,125.0,3+1,5.0,3,4,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,0,0,0,0,25000,25000.0
Elmalı Mh.,88.0,85.0,2+1,4.0,3,26-30 arası,Klima,1.0,1,1,Yok,0,0,0,100,21000,22000.0
Çağlayan Mh.,100.0,95.0,2+1,12.0,9,21-25 arası,Klima,1.0,1,1,Açık Otopark,1,1,0,500,0,30000.0
Kışla Mh.,50.0,45.0,1+1,4.0,1,3,Kombi (Doğalgaz),1.0,1,1,Yok,1,0,0,0,0,17800.0
Dutlubahçe Mh.,80.0,70.0,2+1,4.0,Giriş Katı,5-10 arası,Yok,1.0,1,0,Açık Otopark,0,0,0,0,0,12000.0
Altındağ Mh.,190.0,180.0,3+1,5.0,2,16-20 arası,Klima,1.0,1,1,Yok,1,0,0,0,0,20000.0
Ermenek Mah.,210.0,160.0,4+2,2.0,2,16-20 arası,Klima,3.0,1,0,Açık Otopark,0,0,0,0,45000,45000.0
Gençlik Mh.,130.0,120.0,3+1,5.0,2,31 ve üzeri,Klima,1.0,1,0,Yok,0,0,0,100,15000,15000.0
Şirinyalı Mh.,95.0,85.0,2+1,12.0,9,16-20 arası,Klima,1.0,1,1,Açık Otopark,1,1,0,400,25000,25000.0
Ermenek Mah.,100.0,95.0,2+1,3.0,1,1,Klima,2.0,1,0,Yok,1,0,0,0,0,25000.0
Gençlik Mh.,350.0,280.0,4+2,5.0,5,16-20 arası,Kombi (Doğalgaz),3.0,1,1,Açık Otopark,0,0,0,1100,70000,70000.0
Meydankavağı Mh.,220.0,200.0,3+1,3.0,1,5-10 arası,Kombi (Doğalgaz),2.0,1,1,Kapalı Otopark,0,1,0,1500,40000,40000.0
Soğuksu Mh.,110.0,100.0,2+1,7.0,Giriş Katı,11-15 arası,Yok,1.0,1,1,Açık Otopark,0,0,0,100,16000,15000.0
Zerdalilik Mah.,145.0,135.0,3+1,4.0,2,26-30 arası,Yok,1.0,1,0,Açık Otopark,0,0,0,100,20000,20000.0
Güzeloba Mh.,200.0,180.0,5+1,3.0,2,5-10 arası,Klima,2.0,1,0,Açık Otopark,0,0,0,0,0,25000.0
Meydankavağı Mh.,155.0,150.0,3+1,9.0,3,16-20 arası,Klima,1.0,1,1,Açık Otopark,0,1,0,750,25000,25000.0
Sinan Mah.,140.0,120.0,2+1,4.0,2,21-25 arası,Yok,1.0,1,0,Açık Otopark,0,0,0,250,30000,15000.0
Yenigün Mh.,180.0,160.0,6+1,4.0,4,16-20 arası,Klima,2.0,1,1,Açık Otopark,1,0,1,150,75000,25000.0
Muratpaşa Mh.,120.0,115.0,3+1,7.0,2,11-15 arası,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,0,0,0,200,15000,15000.0
Kışla Mh.,75.0,70.0,1+1,3.0,1,5-10 arası,Klima,1.0,0,0,Yok,1,0,1,200,5000,13000.0
Konuksever Mah.,165.0,155.0,3+1,3.0,1,11-15 arası,Klima,1.0,1,1,Açık Otopark,0,0,0,150,15750,15750.0
Bahçelievler Mh.,330.0,280.0,4+1,7.0,7,11-15 arası,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,0,0,0,500,0,61000.0
Sedir Mah.,95.0,90.0,2+1,4.0,4,11-15 arası,Klima,1.0,1,0,Açık Otopark,0,0,0,0,18000,18000.0
Çağlayan Mh.,110.0,100.0,2+1,4.0,1,11-15 arası,Klima,1.0,1,1,Açık Otopark,1,0,0,450,0,28000.0
Güzeloba Mh.,180.0,150.0,3+1,2.0,Çatı Katı,5-10 arası,Klima,2.0,1,0,Açık Otopark,0,0,0,0,0,31000.0
Bahçelievler Mh.,135.0,125.0,2+1,4.0,1,26-30 arası,Yok,1.0,1,0,Açık Otopark,0,0,0,0,19500,19500.0
Meydankavağı Mh.,196.0,174.0,3+1,7.0,7,11-15 arası,Klima,2.0,1,1,Açık Otopark,1,0,0,0,0,29250.0
Kızılarık Mh.,90.0,80.0,2+1,4.0,1,5-10 arası,Klima,1.0,1,1,Açık Otopark,0,0,0,0,18000,18000.0
Güzeloba Mh.,200.0,170.0,3+1,2.0,2,26-30 arası,Klima,1.0,1,0,Açık Otopark,0,1,0,1400,30000,30000.0
Konuksever Mah.,120.0,110.0,2+1,3.0,1,11-15 arası,Klima,1.0,1,0,Açık Otopark,0,0,0,150,15000,15000.0
Çağlayan Mh.,135.0,130.0,3+1,4.0,2,11-15 arası,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,0,0,0,200,25000,25000.0
Gebizli Mah.,155.0,145.0,3+1,4.0,4,5-10 arası,Klima,1.0,1,1,Açık Otopark,0,0,0,200,40000,20000.0
Şirinyalı Mh.,120.0,110.0,2+1,5.0,3,5-10 arası,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,1,0,0,500,70000,32000.0
Gebizli Mah.,50.0,40.0,1+1,11.0,Yüksek Giriş,21-25 arası,Klima,1.0,0,1,Açık Otopark,0,0,0,0,0,10500.0
Çağlayan Mh.,150.0,135.0,2+1,9.0,Bahçe Katı,16-20 arası,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,1,0,1300,0,20000.0
Kızıltoprak Mh.,150.0,140.0,3+1,4.0,2,5-10 arası,Klima,1.0,1,1,Açık Otopark,0,0,0,0,19500,20000.0
Sedir Mah.,100.0,90.0,2+1,5.0,4,3,Klima,1.0,1,1,Açık Otopark,0,0,1,100,14000,14000.0
Varlık Mh.,107.0,102.0,3+1,6.0,3,3,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,0,0,200,0,25000.0
Şirinyalı Mh.,180.0,170.0,3+1,2.0,1,11-15 arası,Kombi (Doğalgaz),1.0,1,0,Yok,0,0,0,200,0,40000.0
Çaybaşı Mh.,85.0,80.0,2+1,5.0,3,5-10 arası,Klima,1.0,0,1,Açık Otopark,1,0,0,0,0,22500.0
Gençlik Mh.,120.0,110.0,3+1,4.0,4,31 ve üzeri,Klima,1.0,1,0,Açık & Kapalı Otopark,0,0,1,0,0,14000.0
Güzeloba Mh.,90.0,82.0,2+1,2.0,1,5-10 arası,Klima,1.0,1,0,Açık Otopark,1,0,0,0,0,26000.0
Meydankavağı Mh.,120.0,110.0,2+1,4.0,1,16-20 arası,Klima,1.0,1,1,Yok,0,0,0,0,15000,16000.0
Yeşilbahçe Mh.,168.0,145.0,1+1,6.0,6,16-20 arası,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,0,1,0,350,17000,15000.0
Güzeloba Mh.,95.0,85.0,2+1,7.0,2,11-15 arası,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,0,0,800,0,30000.0
Güzeloba Mh.,95.0,85.0,2+1,2.0,1,5-10 arası,Yok,2.0,1,0,Yok,0,0,0,1000,20000,20000.0
Bahçelievler Mh.,200.0,180.0,3+1,7.0,5,16-20 arası,Kat Kaloriferi,1.0,1,1,Açık Otopark,1,0,1,600,40000,36000.0
Çağlayan Mh.,120.0,110.0,4+1,2.0,Yüksek Giriş,5-10 arası,Klima,1.0,1,0,Açık Otopark,1,0,0,0,0,35000.0
Soğuksu Mh.,115.0,110.0,2+1,4.0,4,21-25 arası,Fancoil Ünitesi,1.0,1,0,Açık Otopark,0,0,0,0,14000,14000.0
Şirinyalı Mh.,230.0,210.0,5+1,13.0,12,21-25 arası,Klima,2.0,1,1,Açık Otopark,0,1,0,0,0,30000.0
Güzeloba Mh.,100.0,90.0,2+1,2.0,2,21-25 arası,Klima,1.0,1,0,Açık Otopark,1,0,0,100,50000,25000.0
Yenigün Mh.,135.0,110.0,3+1,3.0,3,16-20 arası,Klima,1.0,1,0,Açık Otopark,0,0,0,0,0,16000.0
Kışla Mh.,200.0,180.0,3+1,2.0,2,31 ve üzeri,Klima,1.0,1,0,Yok,0,0,0,50,20000,22000.0
Güzeloba Mh.,170.0,150.0,3+1,8.0,6,11-15 arası,Klima,1.0,1,1,Açık & Kapalı Otopark,0,1,0,1000,32500,30000.0
Yenigün Mh.,145.0,140.0,3+1,4.0,2,11-15 arası,Klima,1.0,1,0,Açık Otopark,0,0,0,0,15500,15500.0
Fener Mah.,160.0,145.0,3+1,10.0,3,16-20 arası,Klima,1.0,1,1,Açık Otopark,0,0,0,1000,50000,30000.0
Kızılsaray Mh.,120.0,110.0,2+1,6.0,4,21-25 arası,Klima,1.0,1,1,Yok,0,0,0,0,14000,14000.0
Bayındır Mh.,145.0,130.0,3+1,4.0,3,21-25 arası,Yok,1.0,1,0,Açık Otopark,0,0,0,100,15000,15000.0
Altındağ Mh.,120.0,100.0,2+1,4.0,Yüksek Giriş,11-15 arası,Yok,1.0,1,1,Açık Otopark,0,0,0,100,12000,12000.0
Deniz Mah.,120.0,110.0,2+1,5.0,Giriş Katı,1,Klima,1.0,1,1,Açık Otopark,1,0,0,0,46000,23000.0
Üçgen Mh.,90.0,85.0,2+1,3.0,1,21-25 arası,Klima,1.0,1,0,Yok,1,0,0,50,15000,12000.0
Gençlik Mh.,140.0,120.0,3+1,5.0,2,31 ve üzeri,Soba,1.0,1,0,Yok,0,0,0,0,15000,16000.0
Güzeloba Mh.,50.0,45.0,1+1,3.0,1,1,Klima,1.0,1,1,Yok,1,0,0,0,25000,25000.0
Etiler Mah.,105.0,95.0,2+1,3.0,3,16-20 arası,Yok,1.0,1,0,Açık Otopark,0,0,0,0,13000,13000.0
Bayındır Mh.,150.0,145.0,3+1,7.0,6,16-20 arası,Klima,1.0,1,1,Açık Otopark,1,0,0,250,25000,25000.0
Meydankavağı Mh.,200.0,185.0,3+1,9.0,6,11-15 arası,Klima,2.0,1,1,Açık Otopark,0,0,0,0,0,26500.0
Kızıltoprak Mh.,95.0,80.0,2+1,5.0,2,5-10 arası,Klima,1.0,1,1,Açık Otopark,0,0,0,0,15000,15000.0
Çağlayan Mh.,250.0,240.0,5+1,4.0,4,11-15 arası,Klima,2.0,1,1,Açık Otopark,0,0,0,0,0,23000.0
Fener Mah.,165.0,145.0,3+1,11.0,2,16-20 arası,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,1,0,0,0,40000.0
Güzeloba Mh.,55.0,50.0,1+1,4.0,Giriş Katı,5-10 arası,Klima,1.0,0,1,Kapalı Otopark,1,0,0,1950,22500,22500.0
Kızılarık Mh.,85.0,75.0,2+1,4.0,Yüksek Giriş,5-10 arası,Klima,1.0,0,1,Kapalı Otopark,0,1,0,200,12500,12500.0
Fener Mah.,150.0,130.0,3+1,8.0,Bahçe Katı,5-10 arası,Yerden Isıtma,2.0,1,1,Kapalı Otopark,0,1,1,2500,0,50000.0
Deniz Mah.,75.0,65.0,2+1,4.0,Giriş Katı,4,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,0,0,150,50000,25000.0
Şirinyalı Mh.,120.0,100.0,3+1,4.0,1,21-25 arası,Klima,1.0,1,1,Açık Otopark,0,0,0,0,50000,26000.0
Bayındır Mh.,100.0,90.0,2+1,5.0,4,26-30 arası,Klima,1.0,1,0,Açık Otopark,1,0,1,50,18000,18000.0
Konuksever Mah.,90.0,85.0,2+1,4.0,1,11-15 arası,Yok,1.0,1,0,Açık Otopark,0,0,0,100,11000,11000.0
Çağlayan Mh.,120.0,110.0,2+1,4.0,1,5-10 arası,Klima,1.0,1,1,Açık Otopark,1,0,0,450,0,28000.0
Güzeloba Mh.,55.0,50.0,1+1,2.0,Giriş Katı,5-10 arası,Klima,1.0,1,1,Açık Otopark,0,0,0,1000,18000,18000.0
